0.1	0.00333
0.2	0.00829256
0.3	0.0131723
0.4	0.0179204
0.5	0.0224894
0.6	0.0268337
0.7	0.03091
0.8	0.0346773
0.9	0.0380982
1	0.0411384
1.1	0.0437676
1.2	0.0459595
1.3	0.0476922
1.4	0.0489483
1.5	0.0497154
1.6	0.0499857
1.7	0.0497566
1.8	0.0490303
1.9	0.0478141
2	0.0461202
2.1	0.0439655
2.2	0.0413715
2.3	0.0383641
2.4	0.0349734
2.5	0.0312333
2.6	0.027181
2.7	0.0228572
2.8	0.018305
2.9	0.01357
3	0.00869929
3.1	0.00374169
3.2	-0.00125328
3.3	-0.00623574
3.4	-0.0111559
3.5	-0.0159646
3.6	-0.0206137
3.7	-0.0250569
3.8	-0.0292498
3.9	-0.0331504
4	-0.0367197
4.1	-0.0399222
4.2	-0.0427258
4.3	-0.0451025
4.4	-0.0470285
4.5	-0.0484846
4.6	-0.0494563
4.7	-0.0499339
4.8	-0.0499125
4.9	-0.0493924
5	-0.0483788
5.1	-0.0468818
5.2	-0.0449164
5.3	-0.0425022
5.4	-0.0396633
5.5	-0.0364282
5.6	-0.032829
5.7	-0.0289018
5.8	-0.0246859
5.9	-0.0202233
6	-0.0155586
6.1	-0.0107385
6.2	-0.00581108
6.3	-0.000825603
6.4	0.00416812
6.5	0.00912021
6.6	0.0139812
6.7	0.0187024
6.8	0.0232368
6.9	0.027539
7	0.0315661
7.1	0.0352777
7.2	0.0386369
7.3	0.0416101
7.4	0.0441674
7.5	0.0462835
7.6	0.0479371
7.7	0.0491118
7.8	0.0497957
7.9	0.0499821
8	0.0496691
8.1	0.0488598
8.2	0.0475623
8.3	0.0457896
8.4	0.0435594
8.5	0.0408939
8.6	0.0378199
8.7	0.034368
8.8	0.0305726
8.9	0.0264718
9	0.0221065
9.1	0.0175204
9.2	0.0127591
9.3	0.00787042
9.4	0.00290306
9.5	-0.0020933
9.6	-0.00706875
9.7	-0.0119736
9.8	-0.0167588
9.9	-0.0213765
